Code IRIS de Roubaix,Nom de l’IRIS à Roubaix,indice
595120101.0,MACKELLERIE,"0,888050314465409"
595120102.0,FRESNOY,"1,14392033542977"
595120201.0,FOSSE AUX CHENES,"0,757023060796646"
595120202.0,ALMA SUD,"0,430293501048218"
595120203.0,ALMA NORD,"0,635534591194969"
595120301.0,ENTREPONT-CARTIGNY,"0,95104821802935"
595120302.0,HUTIN-ORAN,"1,0730607966457"
595120303.0,CUL DE FOUR,"0,741928721174004"
595120401.0,HOMMELET NORD,"0,686058700209644"
595120402.0,HOMMELET CENTRE,"0,838888888888889"
595120403.0,HOMMELET SUD,"0,928616352201258"
595120501.0,EPEULE NORD,"0,688469601677149"
595120502.0,EPEULE CENTRE,"0,769182389937107"
595120503.0,EPEULE SUD,"1,23878406708595"
595120504.0,TRICHON,"0,94769392033543"
595120601.0,ESPERANCE CENTRE,"1,11530398322851"
595120602.0,NATIONS UNIES,"0,992557651991614"
595120603.0,ANSEELE,"1,00461215932914"
595120701.0,BARBIEUX-VAUBAN,"2,55136268343815"
595120702.0,BARBIEUX SUD,"2,87997903563941"
595120703.0,EDOUART VAILLANT,"1,7104821802935"
595120801.0,MOULIN NORD,"0,878511530398323"
595120802.0,MOULIN SUD,"0,987735849056604"
595120803.0,POTENNERIE,"1,53018867924528"
595120901.0,SAINTE-ELISABETH CENTRE,"0,830188679245283"
595120902.0,SAINTE-ELISABETH SUD,"0,832389937106918"
595120903.0,SAINTE-ELISABETH NORD,"0,909538784067086"
595121001.0,PILE EST,"0,762788259958071"
595121002.0,PILE CENTRE,"0,672851153039832"
595121003.0,PILE NORD,"0,826519916142558"
595121101.0,TROIS PONTS NORD,"0,487211740041929"
595121102.0,TROIS PONTS SUD,"0,666876310272537"
595121103.0,SARTEL,"1,04696016771488"
595121201.0,LINNE CHEMIN NEUF,"1,61509433962264"
595121202.0,JUSTICE,"1,67023060796646"
595121203.0,FRATERNITE,"1,35020964360587"
595121301.0,NOUVEAU ROUBAIX,"1,02169811320755"
595121302.0,HAUTS CHAMPS,"0,956708595387841"
